year,flower_doy,flower_date,temp
812,92,812-04-01,9.9
815,105,815-04-15,6
831,96,831-04-06,8.6
851,108,851-04-18,5.2
853,104,853-04-14,6.3
864,100,864-04-09,7.4
866,106,866-04-16,5.7
869,95,869-04-05,8.9
889,104,889-04-14,6.3
891,109,891-04-19,4.9
892,108,892-04-17,5.2
894,106,894-04-16,5.7
895,104,895-04-14,6.3
896,104,896-04-13,6.3
902,102,902-04-12,6.9
908,98,908-04-07,8
912,95,912-04-04,8.9
913,110,913-04-20,4.6
917,95,917-04-05,8.9
923,104,923-04-14,6.3
926,98,926-04-08,8
930,97,930-04-07,8.3
933,106,933-04-16,5.7
941,109,941-04-19,4.9
949,107,949-04-17,5.4
950,95,950-04-05,8.9
955,89,955-03-30,10.8
957,112,957-04-22,4.1
958,109,958-04-19,4.9
959,97,959-04-07,8.3
960,101,960-04-10,7.2
961,87,961-03-28,11.5
963,94,963-04-04,9.3
965,104,965-04-14,6.3
966,98,966-04-08,8
967,103,967-04-13,6.6
969,98,969-04-08,8
972,107,972-04-16,5.4
974,108,974-04-18,5.2
975,101,975-04-11,7.2
977,112,977-04-22,4.1
979,104,979-04-14,6.3
985,94,985-04-04,9.3
989,100,989-04-10,7.4
991,104,991-04-14,6.3
1000,105,1000-04-15,6
1004,117,1004-04-26,2.7
1006,100,1006-04-10,7.4
1007,106,1007-04-16,5.7
1014,115,1014-04-25,3.2
1016,111,1016-04-20,4.3
1017,99,1017-04-09,7.7
1018,113,1018-04-23,3.8
1019,98,1019-04-08,8
1029,116,1029-04-26,3
1031,97,1031-04-07,8.3
1032,111,1032-04-20,4.3
1033,102,1033-04-12,6.9
1034,96,1034-04-06,8.6
1036,104,1036-04-13,6.3
1041,103,1041-04-13,6.6
1046,103,1046-04-13,6.6
1048,112,1048-04-21,4.1
1050,105,1050-04-15,6
1060,108,1060-04-17,5.2
1061,92,1061-04-02,9.9
1066,105,1066-04-15,6
1071,113,1071-04-23,3.8
1073,103,1073-04-13,6.6
1080,102,1080-04-11,6.9
1083,96,1083-04-06,8.6
1084,120,1084-04-29,2
1088,104,1088-04-13,6.3
1090,105,1090-04-15,6
1093,105,1093-04-15,6
1095,100,1095-04-10,7.4
1096,96,1096-04-05,8.6
1098,100,1098-04-10,7.4
1099,103,1099-04-13,6.6
1102,104,1102-04-14,6.3
1104,108,1104-04-17,5.2
1105,114,1105-04-24,3.5
1107,105,1107-04-15,6
1111,113,1111-04-23,3.8
1112,104,1112-04-13,6.3
1114,100,1114-04-10,7.4
1117,109,1117-04-19,4.9
1118,102,1118-04-12,6.9
1120,104,1120-04-13,6.3
1123,112,1123-04-22,4.1
1124,98,1124-04-07,8
1125,111,1125-04-21,4.3
1126,108,1126-04-18,5.2
1127,107,1127-04-17,5.4
1128,111,1128-04-20,4.3
1129,106,1129-04-16,5.7
1130,103,1130-04-13,6.6
1131,103,1131-04-13,6.6
1134,106,1134-04-16,5.7
1139,113,1139-04-23,3.8
1140,103,1140-04-12,6.6
1141,111,1141-04-21,4.3
1143,110,1143-04-20,4.6
1145,107,1145-04-17,5.4
1151,109,1151-04-19,4.9
1154,96,1154-04-06,8.6
1156,90,1156-03-30,10.5
1159,103,1159-04-13,6.6
1161,112,1161-04-22,4.1
1163,112,1163-04-22,4.1
1164,100,1164-04-09,7.4
1165,106,1165-04-16,5.7
1166,95,1166-04-05,8.9
1167,111,1167-04-21,4.3
1169,112,1169-04-22,4.1
1170,113,1170-04-23,3.8
1172,103,1172-04-12,6.6
1173,117,1173-04-27,2.7
1174,112,1174-04-22,4.1
1175,113,1175-04-23,3.8
1176,113,1176-04-22,3.8
1179,103,1179-04-13,6.6
1180,98,1180-04-07,8
1182,104,1182-04-14,6.3
1183,101,1183-04-11,7.2
1184,115,1184-04-24,3.2
1185,115,1185-04-25,3.2
1187,104,1187-04-14,6.3
1188,107,1188-04-16,5.4
1190,112,1190-04-22,4.1
1191,106,1191-04-16,5.7
1194,119,1194-04-29,2.2
1199,109,1199-04-19,4.9
1200,104,1200-04-13,6.3
1201,96,1201-04-06,8.6
1202,106,1202-04-16,5.7
1203,105,1203-04-15,6
1204,110,1204-04-19,4.6
1205,105,1205-04-15,6
1207,104,1207-04-14,6.3
1210,112,1210-04-22,4.1
1212,98,1212-04-07,8
1213,107,1213-04-17,5.4
1214,102,1214-04-12,6.9
1215,108,1215-04-18,5.2
1216,101,1216-04-10,7.2
1219,101,1219-04-11,7.2
1220,109,1220-04-18,4.9
1221,99,1221-04-09,7.7
1223,116,1223-04-26,3
1225,105,1225-04-15,6
1226,106,1226-04-16,5.7
1227,111,1227-04-21,4.3
1229,97,1229-04-07,8.3
1230,102,1230-04-12,6.9
1231,101,1231-04-11,7.2
1232,92,1232-04-01,9.9
1233,105,1233-04-15,6
1235,110,1235-04-20,4.6
1236,87,1236-03-27,11.5
1240,106,1240-04-15,5.7
1244,108,1244-04-17,5.2
1245,108,1245-04-18,5.2
1246,98,1246-04-08,8
1247,106,1247-04-16,5.7
1249,108,1249-04-18,5.2
1250,116,1250-04-26,3
1251,100,1251-04-10,7.4
1254,110,1254-04-20,4.6
1257,94,1257-04-04,9.3
1259,96,1259-04-06,8.6
1262,97,1262-04-07,8.3
1263,120,1263-04-30,2
1264,103,1264-04-12,6.6
1265,98,1265-04-08,8
1267,105,1267-04-15,6
1268,103,1268-04-12,6.6
1269,100,1269-04-10,7.4
1271,100,1271-04-10,7.4
1275,107,1275-04-17,5.4
1278,113,1278-04-23,3.8
1279,101,1279-04-11,7.2
1280,102,1280-04-11,6.9
1283,103,1283-04-13,6.6
1284,102,1284-04-11,6.9
1285,105,1285-04-15,6
1286,112,1286-04-22,4.1
1287,110,1287-04-20,4.6
1288,108,1288-04-17,5.2
1289,107,1289-04-17,5.4
1292,107,1292-04-16,5.4
1294,101,1294-04-11,7.2
1295,102,1295-04-12,6.9
1301,95,1301-04-05,8.9
1302,96,1302-04-06,8.6
1307,104,1307-04-14,6.3
1311,94,1311-04-04,9.3
1312,100,1312-04-09,7.4
1314,101,1314-04-11,7.2
1315,111,1315-04-21,4.3
1316,103,1316-04-12,6.6
1317,102,1317-04-12,6.9
1319,116,1319-04-26,3
1321,102,1321-04-12,6.9
1322,106,1322-04-16,5.7
1323,124,1323-05-04,1
1324,98,1324-04-07,8
1326,107,1326-04-17,5.4
1329,112,1329-04-22,4.1
1330,108,1330-04-18,5.2
