year,flower_date,flower_doy,station_name,mean_temp_month,latitude,longitude
1953,1953-05-21,141,Wakkanai,6.9,45.42,141.68
1954,1954-05-17,137,Wakkanai,7.5,45.42,141.68
1955,1955-05-17,137,Wakkanai,7,45.42,141.68
1956,1956-05-12,133,Wakkanai,10.8,45.42,141.68
1957,1957-05-18,138,Wakkanai,9.3,45.42,141.68
1958,1958-05-23,143,Wakkanai,8.5,45.42,141.68
1959,1959-05-03,123,Wakkanai,9.4,45.42,141.68
1960,1960-05-19,140,Wakkanai,7.7,45.42,141.68
1961,1961-05-11,131,Wakkanai,8.7,45.42,141.68
1962,1962-05-10,130,Wakkanai,10,45.42,141.68
1963,1963-05-12,132,Wakkanai,10.4,45.42,141.68
1964,1964-05-16,137,Wakkanai,9.9,45.42,141.68
1965,1965-05-18,138,Wakkanai,9.1,45.42,141.68
1973,1973-05-20,140,Wakkanai,8.4,45.42,141.68
1974,1974-05-19,139,Wakkanai,8.4,45.42,141.68
1975,1975-05-19,139,Wakkanai,8.4,45.42,141.68
1953,1953-05-08,128,Rumoi,6.9,43.95,141.63
1954,1954-05-11,131,Rumoi,7.5,43.95,141.63
1955,1955-05-13,133,Rumoi,7,43.95,141.63
1956,1956-05-08,129,Rumoi,10.8,43.95,141.63
1957,1957-05-10,130,Rumoi,9.3,43.95,141.63
1958,1958-05-12,132,Rumoi,8.5,43.95,141.63
1961,1961-05-07,127,Rumoi,8.7,43.95,141.63
1962,1962-05-09,129,Rumoi,10,43.95,141.63
1963,1963-05-13,133,Rumoi,10.4,43.95,141.63
1964,1964-05-08,129,Rumoi,9.9,43.95,141.63
1965,1965-05-18,138,Rumoi,9.1,43.95,141.63
1966,1966-05-16,136,Rumoi,8.1,43.95,141.63
1967,1967-05-11,131,Rumoi,10,43.95,141.63
1968,1968-05-08,129,Rumoi,8.9,43.95,141.63
1969,1969-05-16,136,Rumoi,7.2,43.95,141.63
1970,1970-05-09,129,Rumoi,10.4,43.95,141.63
1971,1971-05-17,137,Rumoi,7.6,43.95,141.63
1973,1973-05-12,132,Rumoi,8.4,43.95,141.63
1974,1974-05-15,135,Rumoi,8.4,43.95,141.63
